,name,artist,spotify_id,release_date,genres
224,Chandelier,Sia,4VrWlk8IQxevMvERoX08iC,2014-07-04,[]
225,Black Widow,Iggy Azalea,71vsEyBd4X1D5BUmLdFSVH,2014-01-01,[]
226,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,0puf9yIluy9W0vpMEUoAnN,2014-10-10,[]
227,Latch,Disclosure,51ODNNDZm21HU7wI7cccRr,2013-06-03,['house']
228,Maps,Maroon 5,7oUHzZKNKUTrlU7DYxhQ7v,2015-05-18,['pop']
229,Loyal,Chris Brown,5BrTUo0xP1wKXLJWUaGFtk,2014-09-16,['r&b']
230,Best Day of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP,2014-01-01,[]
231,Habits (Stay High),Tove Lo,18AJRdgUoO9EYn11N7xzaT,2014-09-24,[]
232,Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05,2014-10-31,['edm']
233,Boom Clap,Charli XCX,7982sGZuvo5OXsY6REzgIn,2014-12-15,"['hyperpop', 'art pop']"
234,Drunk in Love,Beyoncé,6jG2YzhxptolDzLHTGLt7S,2014-11-24,[]
235,Anaconda,Nicki Minaj,5eqiMMbaeUZ32Q7sS00H35,2014-12-12,[]
236,Break Free,Ariana Grande,12KUFSHFgT0XCoiSlvdQi4,2014-08-22,['pop']
237,Bailando,Enrique Iglesias,5M830cD7MNeiiwIGHzH9TV,2014-07-04,"['latin pop', 'latin']"
238,Burn,Ellie Goulding,5lF0pHbsJ0QqyIrLweHJPW,2012-10-12,[]
239,Wiggle,Jason Derulo,4B4zDmbHdkXZ1wUJv1yKFy,2013-09-10,[]
240,Rather Be,Clean Bandit,61dCUoMCg28qEBzrW6htYM,2014-06-02,[]
241,Don't Tell 'Em,Jeremih,0Dc7J9VPV4eOInoxUiZrsL,2015-12-04,[]
242,Show Me,Kid Ink,4q6dqyGM25sKFU8nYAGRe4,2014-01-06,[]
243,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,2013-10-04,[]
244,Not a Bad Thing,Justin Timberlake,3nB82yGjtbQFSU0JLAwLRH,2013-09-27,[]
245,Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI,2013-01-01,['pop']
246,Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,2013-04-05,"['pop punk', 'emo', 'emo pop']"
247,The Man,Aloe Blacc,4e6ZN0EcEqYx74BTC5xQzy,2013-01-01,[]
248,This Is How We Roll,Florida Georgia Line,2TR7A4ulH9R1PNwMyd8o8U,2013-01-01,"['country', 'pop country', 'acoustic country']"
249,Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,2012,[]
250,A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,2014-05-16,[]
251,Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,2014-06-21,['soft pop']
252,Na Na,Trey Songz,5LIleJbUUgtvYnBW9wfY1W,2015-06-23,['r&b']
253,Hot Boy,Bobby Shmurda,4wfzdHEUMd2badwM40lLXu,2014-11-10,[]
254,"Hold On, We're Going Home",Drake,6jdOi5U5LBzQrc4c1VT983,2013-01-01,['rap']
255,Sing,Ed Sheeran,6K8qKeWo5MsFED7wCR6Kop,2014-06-21,['soft pop']
256,Radioactive,Imagine Dragons,62yJjFtgkhUrXktIoSjgP2,2012-09-04,[]
257,My Hitta,YG,5Egr4Kxqr7VGlwLz2FulYL,2014-03-18,[]
258,Cool Kids,Echosmith,13P5rwmk2EsoFRIz9UCeh9,2013-10-04,[]
259,Hey Brother,Avicii,4lhqb6JvbHId48OUJGwymk,2013-01-01,['edm']
260,Trumpets,Jason Derulo,6jizk5lOUnfpaZXYMdfeC6,2013-09-10,[]
261,Animals,Maroon 5,3h4T9Bg8OVSUYa6danHeH5,2015-05-18,['pop']
262,Burnin' It Down,Jason Aldean,32FcjEWPn4aSRqJ6loL01b,2014-10-07,"['country', 'acoustic country']"
263,Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,2013-01-01,"['country', 'acoustic country']"
264,2 On,Tinashe,3jVtllWS5CFFWLQng8sKsr,2014-10-01,['alternative r&b']
265,Dirt,Florida Georgia Line,5CXnIPD6rTjszYYQm6fY2P,2014-10-14,"['country', 'pop country', 'acoustic country']"
266,Love Runs Out,OneRepublic,3cOO5IQtOYs7huq4Z6lYfr,2014-01-01,['soft pop']
267,Bottoms Up,Brantley Gilbert,7nDoBWDvf02SyD8kEQuuPO,2014-01-01,"['country', 'country rock', 'country hip hop', 'acoustic country']"
